Id,Sales
1,4545.6053423582125
2,6937.076387049898
3,8267.517268799778
4,6667.772290921374
5,6866.096536101067
6,5334.525476378078
7,7011.790280659551
8,7019.5696753431275
9,4918.051667605191
10,5651.983251834776
11,6157.9981087280985
12,7978.851740933272
13,6815.268137270563
14,9028.120919687382
15,5899.52796846935
16,4634.020009346655
17,5885.36432431013
18,9385.690766018115
19,11408.26183505706
20,9760.827200375556
21,8025.449250621978
22,4281.533494660324
23,5276.480155666219
24,4517.660110376683
25,7597.781573083641
26,11031.337201073411
27,9256.760163323988
28,6025.125107918309
29,4988.24993001228
30,4122.4812035247205
31,5511.833884281623
32,10022.254466471846
33,6801.77642232969
34,5264.124117282708
35,5417.060863516634
36,7633.167117072972
37,3654.539816598153
38,7312.383767769182
39,4723.513084339538
40,7005.135698270242
41,6637.075882789869
42,4597.726231092669
43,7629.898183604886
44,6773.537126490912
45,4800.144275181503
46,6729.220246928451
47,6573.385701718359
48,10436.15214456017
49,6270.434293402135
50,7768.312239380998
51,6550.858400025935
52,9561.787873161453
53,6625.295690377457
54,8658.786494016585
55,4824.618631916876
56,4386.539955927181
57,6028.741594353321
58,5363.979247369366
59,8990.963495187718
60,7600.467356417272
61,5715.607528696387
62,7725.5496159092345
63,6664.376914438454
64,9035.343768898116
65,3921.1452951067045
66,12048.723129510308
67,4673.117524066257
68,6093.834507833506
69,8075.63169749144
70,5342.512348837273
71,6356.839478359915
72,6042.495281481953
73,7144.516024221641
74,5138.791242297704
75,5291.395743086075
76,8266.639138777158
77,7178.490658911042
78,7297.010481420469
79,4997.743545058297
80,7070.562511751286
81,11467.287549551826
82,5921.267005220881
83,4245.34127044337
84,6550.825722872425
85,5694.983434224451
86,6236.034022209889
87,7672.048986840401
88,3999.202898165122
89,7732.003929803614
90,5315.805795444361
91,7320.601214762764
92,6800.909059163518
93,5060.665219306067
94,5563.138611584138
95,5366.347977877299
96,7916.170373342442
97,9021.182504226186
98,5339.2022548715
99,4945.041321752642
100,7176.866303854677
101,5967.392587544686
102,5568.585462903631
103,8319.335475985014
104,6904.652286069101
105,6960.178133624356
106,5914.675688691288
107,4468.450493380141
108,6736.884653210977
109,7328.858997386611
110,7468.307390080402
111,8170.033168555705
112,8062.583345342945
113,5787.0754135482775
114,7833.544500685832
115,5784.984347040688
116,6684.431993769991
117,8671.175230074145
118,7022.338651935919
119,9526.94417493675
120,7706.4030260036525
